iter	Passed	Remaining
0	0	91
1	1	84
2	2	85
3	3	78
4	4	77
5	4	75
6	5	75
7	6	74
8	7	73
9	8	74
10	9	74
11	10	73
12	10	72
13	11	72
14	12	71
15	13	70
16	14	70
17	15	69
18	16	68
19	16	67
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	50
40	34	49
41	34	47
42	35	46
43	35	45
44	36	44
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	32
60	50	31
61	51	31
62	51	30
63	52	29
64	53	28
65	54	27
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	79	2
97	80	1
98	81	0
99	82	0
